iter	Passed	Remaining
0	219	219200
1	346	173135
2	399	132841
3	513	127854
4	664	132319
5	799	132426
6	935	132755
7	1005	124657
8	1110	122329
9	1230	121830
10	1266	113914
11	1356	111705
12	1461	110976
13	1566	110346
14	1669	109631
15	1754	107895
16	1883	108930
17	2000	109126
18	2092	108024
19	2158	105754
20	2257	105250
21	2369	105320
22	2478	105303
23	2532	103006
24	2653	103492
25	2779	104116
26	2838	102295
27	2968	103062
28	3091	103522
29	3143	101650
30	3244	101425
31	3335	100903
32	3454	101226
33	3561	101177
34	3662	100972
35	3763	100788
36	3855	100336
37	3945	99888
38	4044	99649
39	4145	99480
40	4237	99120
41	4316	98449
42	4426	98523
43	4517	98155
44	4609	97824
45	4716	97816
46	4821	97758
47	4916	97505
48	5011	97270
49	5117	97225
50	5151	95863
51	5245	95633
52	5344	95491
53	5445	95399
54	5554	95442
55	5670	95580
56	5782	95666
57	5891	95681
58	5995	95631
59	6102	95605
60	6191	95306
61	6275	94947
62	6370	94755
63	6465	94551
64	6565	94438
65	6666	94339
66	6770	94279
67	6874	94222
68	6970	94045
69	7006	93082
70	7105	92971
71	7210	92929
72	7331	93100
73	7541	94375
74	7653	94393
75	7760	94353
76	7844	94035
77	7948	93950
78	8069	94079
79	8171	93976
80	8281	93964
81	8396	94000
82	8527	94210
83	8645	94279
84	8767	94376
85	8915	94751
86	9034	94807
87	9147	94798
88	9235	94536
89	9332	94357
90	9415	94053
91	9513	93890
92	9612	93743
93	9704	93535
94	9816	93514
95	9922	93432
96	10042	93491
97	10156	93479
98	10264	93421
99	10361	93249
100	10473	93224
101	10586	93200
102	10697	93161
103	10847	93457
104	10969	93500
105	11069	93357
106	11170	93227
107	11298	93319
108	11454	93628
109	11594	93806
110	11723	93897
111	11841	93884
112	11937	93703
113	12064	93765
114	12211	93977
115	12337	94022
116	12454	93994
117	12601	94188
118	12805	94806
119	12916	94718
120	13021	94591
121	13122	94441
122	13221	94273
123	13319	94094
124	13433	94032
125	13542	93934
126	13650	93834
127	13758	93730
128	13861	93591
129	13950	93362
130	14053	93222
131	14157	93093
132	14267	93010
133	14364	92830
134	14470	92716
135	14579	92621
136	14696	92574
137	14816	92546
138	14929	92477
139	15031	92333
140	15141	92247
141	15262	92218
142	15367	92098
143	15490	92084
144	15604	92009
145	15737	92053
146	15905	92295
147	16055	92428
148	16200	92525
149	16329	92534
150	16471	92609
151	16633	92796
152	16808	93050
153	16931	93014
154	17057	92989
155	17168	92884
156	17283	92800
157	17395	92704
158	17509	92611
159	17635	92587
160	17751	92508
161	17881	92496
162	17998	92422
163	18097	92254
164	18202	92117
165	18297	91927
166	18420	91879
167	18521	91724
168	18620	91559
169	18719	91395
170	18804	91164
171	18902	90997
172	18999	90825
173	19100	90674
174	19211	90568
175	19307	90394
176	19419	90296
177	19521	90148
178	19625	90012
179	19759	90016
180	19871	89915
181	19973	89769
182	20065	89580
183	20171	89454
184	20279	89340
185	20388	89227
186	20494	89100
187	20592	88940
188	20692	88792
189	20805	88696
190	20909	88564
191	21014	88437
192	21106	88254
193	21202	88090
194	21299	87928
195	21386	87726
196	21482	87566
197	21596	87478
198	21719	87423
199	21834	87337
200	21942	87222
201	22057	87138
202	22175	87062
203	22295	86996
204	22417	86934
205	22524	86819
206	22645	86753
207	22759	86660
208	22871	86560
209	22975	86432
210	23069	86263
211	23158	86079
212	23271	85984
213	23372	85846
214	23470	85696
215	23568	85545
216	23665	85390
217	23774	85283
218	23895	85217
219	24013	85140
220	24126	85042
221	24234	84930
222	24321	84744
223	24425	84616
224	24533	84503
225	24649	84419
226	24764	84329
227	24868	84202
228	24987	84128
229	25098	84024
230	25200	83891
231	25300	83752
232	25399	83610
233	25499	83472
234	25600	83337
235	25693	83175
236	25795	83047
237	25887	82883
238	25981	82727
239	26073	82566
240	26173	82428
241	26270	82285
242	26375	82165
243	26496	82095
244	26591	81946
245	26695	81822
246	26814	81745
247	26921	81633
248	27022	81501
249	27134	81404
250	27261	81350
251	27398	81326
252	27521	81259
253	27636	81167
254	27736	81034
255	27843	80918
256	27959	80831
257	28077	80750
258	28182	80630
259	28291	80522
260	28396	80401
261	28482	80230
262	28571	80065
263	28667	79921
264	28772	79804
265	28876	79682
266	28985	79574
267	29093	79463
268	29199	79349
269	29321	79277
270	29439	79193
271	29553	79099
272	29648	78953
273	29770	78880
274	29875	78762
275	29999	78694
276	30105	78579
277	30211	78463
278	30313	78336
279	30426	78239
280	30526	78107
281	30622	77968
282	30720	77832
283	30817	77695
284	30907	77540
285	31014	77428
286	31109	77286
287	31206	77148
288	31312	77034
289	31406	76891
290	31503	76755
291	31603	76628
292	31711	76519
293	31807	76380
294	31914	76270
295	32024	76167
296	32137	76070
297	32242	75954
298	32353	75852
299	32459	75738
300	32567	75630
301	32677	75525
302	32789	75427
303	32884	75287
304	32985	75163
305	33084	75033
306	33185	74911
307	33268	74746
308	33368	74619
309	33465	74486
310	33558	74346
311	33655	74214
312	33757	74094
313	33867	73991
314	33979	73892
315	34099	73810
316	34216	73721
317	34332	73631
318	34449	73542
319	34557	73435
320	34663	73322
321	34773	73219
322	34888	73126
323	35003	73031
324	35118	72938
325	35220	72817
326	35326	72704
327	35410	72548
328	35502	72406
329	35607	72293
330	35718	72191
331	35824	72080
332	35925	71959
333	36019	71823
334	36125	71712
335	36243	71624
336	36353	71520
337	36460	71411
338	36576	71318
339	36685	71213
340	36809	71137
341	36916	71026
342	37024	70918
343	37142	70829
344	37236	70696
345	37352	70603
346	37449	70474
347	37554	70360
348	37684	70294
349	37816	70230
350	37922	70117
351	38018	69988
352	38115	69861
353	38227	69759
354	38326	69635
355	38427	69515
356	38535	69406
357	38634	69282
358	38747	69185
359	38856	69078
360	38955	68954
361	39061	68842
362	39183	68759
363	39289	68649
364	39405	68554
365	39507	68437
366	39616	68330
367	39725	68223
368	39845	68136
369	39948	68019
370	40068	67933
371	40177	67825
372	40289	67725
373	40381	67590
374	40489	67482
375	40586	67355
376	40697	67253
377	40817	67165
378	40920	67049
379	41030	66944
380	41129	66821
381	41237	66713
382	41339	66595
383	41432	66464
384	41534	66347
385	41645	66244
386	41758	66144
387	41866	66037
388	41968	65919
